title,description,audio_url,release_date,is_recurring
Diversification,Diversification,https://www.dropbox.com/scl/fi/t2rlzi0nj2i237ogl4v65/August_1_-_Diversification.mp3?rlkey=vpqenb05mh2nqq1h9lkletccx&st=o9bakaqd&dl=0,8/1/2025 3:30,TRUE
Being the Wrong Size,Being the Wrong Size,https://www.dropbox.com/scl/fi/b15xoy8d9om61vto5c3it/August_2_-_Being_the_Wrong_Size.mp3?rlkey=16ipwmzzo9bcya7o5qoyk7bo2&st=q79pngqz&dl=0,8/2/2025 3:30,TRUE
Growth,Growth,https://www.dropbox.com/scl/fi/m1zviv9rskfplp5sp085l/August_3_-_Growth.mp3?rlkey=vbp3ixh8hk14i8ap7wodozhvd&st=wiz12nwt&dl=0,8/3/2025 3:30,TRUE
Managing the New Venture,Managing the New Venture,https://www.dropbox.com/scl/fi/gdp9k1kr6z5lthk7g1aaw/August_4_-_Managing_the_New_Venture.mp3?rlkey=oebe324ywmopyyons0dheexx9&st=zjci91fn&dl=0,8/4/2025 3:30,TRUE
Calculated Obsolescence,Calculated Obsolescence,https://www.dropbox.com/scl/fi/0hxpq9ebekgbjaoodyw67/August_5_-_Calculated_Obsolescence.mp3?rlkey=3dpq2lxdte2jpr5id0r8op5mm&st=fxjz8w4e&dl=0,8/5/2025 3:30,TRUE
Tunnel-Vision Innovation,Tunnel-Vision Innovation,https://www.dropbox.com/scl/fi/03tbtx95vjw3789tv6v6r/August_6_-_Tunnel-Vision_Innovation.mp3?rlkey=axvzfjgjsecksxi4elugo4r9x&st=by8o7pfg&dl=0,8/6/2025 3:30,TRUE
Social Innovation: The Research Lab,Social Innovation: The Research Lab,https://www.dropbox.com/scl/fi/l2xgzuli8zoebbm87snka/August_7_-_Social_Innovation__The_Research_Lab.mp3?rlkey=g86vussla9xn9uvh2yk4qst1c&st=wwchiqpi&dl=0,8/7/2025 3:30,TRUE
Social Innovation: The Lab Without Walls,Social Innovation: The Lab Without Walls,https://www.dropbox.com/scl/fi/f2u20ld5pm089wn09n0it/August_8_-_Social_Innovation__The_Lab_Without_Walls.mp3?rlkey=6s083f786fw0zv4pp0mp7zxm7&st=nxbnmexf&dl=0,8/8/2025 3:30,TRUE
Research Laboratory: Obsolete?,Research Laboratory: Obsolete?,https://www.dropbox.com/scl/fi/jzoiwfie9qxys8v6p20jm/August_9_-_Research_Laboratory__Obsolete_.mp3?rlkey=8tr3v7v5x9y3ajeh7r0eu6ts0&st=lh8ktwfl&dl=0,8/9/2025 3:30,TRUE
The Infant New Venture,The Infant New Venture,https://www.dropbox.com/scl/fi/m6qunsj0m5iops7is0otv/August_10_-_The_Infant_New_Venture.mp3?rlkey=ky29iesrcuubpw8pbhdzsvyoy&st=nhm2lzx7&dl=0,8/10/2025 3:30,TRUE
The Rapidly Growing New Venture,The Rapidly Growing New Venture,https://www.dropbox.com/scl/fi/74nqx4ahcuhe95t8n06pu/August_11_-_The_Rapidly_Growing_New_Venture.mp3?rlkey=q48yimgz5h7k07nklwsvr9atp&st=75a467fi&dl=0,8/11/2025 3:30,TRUE
Managing Cash in the New Venture,Managing Cash in the New Venture,https://www.dropbox.com/scl/fi/yemf55ieahre0x6viwbiz/August_12_-_Managing_Cash_in_the_New_Venture.mp3?rlkey=utvuuaogysenf6zk3m4v4hher&st=6oshwm2e&dl=0,8/12/2025 3:30,TRUE
Management Team for the New Venture,Management Team for the New Venture,https://www.dropbox.com/scl/fi/rhsewz1n8symce7n7820d/August_13_-_Management_Team_for_the_New_Venture.mp3?rlkey=h8wr5i77fl1w4jve3r3lxxvao&st=38xzhnto&dl=0,8/13/2025 3:30,TRUE
Unrealized Business Potential,Unrealized Business Potential,https://www.dropbox.com/scl/fi/4mgbv8ycblz2mf6nz7ei0/August_14_-_Unrealized_Business_Potential.mp3?rlkey=2sism40okw5uawmummq7r2mqc&st=txmra12p&dl=0,8/14/2025 3:30,TRUE
Finding Opportunities in Vulnerabilities,Finding Opportunities in Vulnerabilities,https://www.dropbox.com/scl/fi/uemoxiqe0t2rcibzyj8gf/August_15_-_Finding_Opportunities_in_Vulnerabilities.mp3?rlkey=hyp0px34ac6yr103cwbsby1y0&st=1ly2xptc&dl=0,8/15/2025 3:30,TRUE
Exploiting Innovative Ideas,Exploiting Innovative Ideas,https://www.dropbox.com/scl/fi/ppds30a7fez92tjf0ww2z/August_16_-_Exploiting_Innovative_Ideas.mp3?rlkey=kou9qeyn1q3mlhy8v7nvxugj8&st=di7fil2n&dl=0,8/16/2025 3:30,TRUE
First with the Most,First with the Most,https://www.dropbox.com/scl/fi/6xwnp3ty08lywsng5tpew/August_17_-_First_with_the_Most.mp3?rlkey=s6xj3doslvdvqdu4st1nti5e9&st=2lfzf0yf&dl=0,8/17/2025 3:30,TRUE
Hitting Them Where They Aren’t,Hitting Them Where They Aren’t,https://www.dropbox.com/scl/fi/a59i04082wdbxg61jmoip/August_18_-_Hitting_Them_Where_They_Aren-t.mp3?rlkey=fln5b0nydkl9ewqmlwvweh7r5&st=8zg08y1t&dl=0,8/18/2025 3:30,TRUE
Entrepreneurial Judo,Entrepreneurial Judo,https://www.dropbox.com/scl/fi/bb4bao35n83a0u0388kf8/August_19_-_Entrepreneurial_Judo.mp3?rlkey=aji9c436xx0c1ysgfnaxsjodl&st=b2m7279j&dl=0,8/19/2025 3:30,TRUE
Changing Economic Characteristics,Changing Economic Characteristics,https://www.dropbox.com/scl/fi/wqlo2y35xa3x9imqtvkhs/August_20_-_Changing_Economic_Characteristics.mp3?rlkey=xu6ent626gxedr0uxpqtfse3v&st=ryz2mcgk&dl=0,8/20/2025 3:30,TRUE
Ecological Niche: Tollbooth Strategy,Ecological Niche: Tollbooth Strategy,https://www.dropbox.com/scl/fi/1hi6ljsy21256robhv11y/August_21_-_Ecological_Niche__Tollbooth_Strategy.mp3?rlkey=zadotkd1trro3plfgnn697neg&st=nsou14c8&dl=0,8/21/2025 3:30,TRUE
Ecological Niche: Specialty-Skill Strategy,Ecological Niche: Specialty-Skill Strategy,https://www.dropbox.com/scl/fi/u1d6wygfl7ge5pfdk6g58/August_22_-_Ecological_Niche__Specialty-Skill_Strategy.mp3?rlkey=i535kiw37ngpbnp1eng0kx2jb&st=z4y2ok4j&dl=0,8/22/2025 3:30,TRUE
Ecological Niche: Specialty Market,Ecological Niche: Specialty Market,https://www.dropbox.com/scl/fi/3ccb2ey9kfxcwgb9svyen/August_23_-_Ecological_Niche__Specialty_Market.mp3?rlkey=5b9dtdfaewj8lh1tvc4gfl2dp&st=hdsy0dbm&dl=0,8/23/2025 3:30,TRUE
Threats to Niche Strategies,Threats to Niche Strategies,https://www.dropbox.com/scl/fi/2grct69yop1h9aec0frwc/August_24_-_Threats_to_Niche_Strategies.mp3?rlkey=tnshtkbsmx29n274et1cchnkx&st=orq0lxmv&dl=0,8/24/2025 3:30,TRUE
Able Company: Research Strategy,Able Company: Research Strategy,https://www.dropbox.com/scl/fi/v33mst54wl4yk0t3e9c9n/August_25_-_Able_Company__Research_Strategy.mp3?rlkey=3ct3j9csdme9vnc3b937f01yc&st=k2minaka&dl=0,8/25/2025 3:30,TRUE
Baker Company: Research Strategy,Baker Company: Research Strategy,https://www.dropbox.com/scl/fi/tzp7cg7lvhjd4oy7lpxm1/August_26_-_Baker_Company__Research_Strategy.mp3?rlkey=vteolx76b52ul7s0om4vcp21b&st=2cjiff7t&dl=0,8/26/2025 3:30,TRUE
Charlie Company: Research Strategy,Charlie Company: Research Strategy,https://www.dropbox.com/scl/fi/jzhhdil59th91term40w6/August_27_-_Charlie_Company__Research_Strategy.mp3?rlkey=gyo1prui6ydbjuf0b8ap51zsq&st=6qph67ny&dl=0,8/27/2025 3:30,TRUE
Success Always Creates New Realities,Success Always Creates New Realities,https://www.dropbox.com/scl/fi/k12f35rsjskigka5pc6ow/August_28_-_Success_Always_Creates_New_Realities.mp3?rlkey=1kezi3xb0ocvinewd39619cmo&st=u3lq2cfs&dl=0,8/28/2025 3:30,TRUE
The Opportunity-Focused Organization,The Opportunity-Focused Organization,https://www.dropbox.com/scl/fi/b1c57s2bwycrgdcdvvjsw/August_29_-_The_Opportunity-Focused_Organization.mp3?rlkey=6rh47nwndcab0hp8i4jqxnwwi&st=ccgiu0d4&dl=0,8/29/2025 3:30,TRUE
Finding Opportunity in Surprises,Finding Opportunity in Surprises,https://www.dropbox.com/scl/fi/bfrtnt2ry8yxcc8rarrsw/August_30_-_Finding_Opportunity_in_Surprises.mp3?rlkey=wytmpbityzq4yyydq23ofolev&st=b5reeox2&dl=0,8/30/2025 3:30,TRUE
Maintaining Dynamic Equilibrium,Maintaining Dynamic Equilibrium,https://www.dropbox.com/scl/fi/3b8k9dh85vf4v0dwk5h9o/August_31_-_Maintaining_Dynamic_Equilibrium.mp3?rlkey=fxc75wdrpxxmdttknagnfcck9&st=xhmj500x&dl=0,8/31/2025 3:30,TRUE